Index,Name,Address,City,State,Zip,Phone_Number,Local or Chain 
243,MCCLURE OIL #51,6220 US 31 S,SOUTH BEND,IN,46615,(765) 674-9771,Local
244,MCCLURE OIL #54,5913 US 31 S,SOUTH BEND,IN,46614,(765) 674-9771,Local
245,SPEEDWAY #8531,2702 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 282-2402,Chain
246,MADISON OYSTER BAR,129 N MAIN ST,SOUTH BEND,IN,46601,(574) 288-3776,Local
247,THE CREPERIE,121 S NILES AVE,SOUTH BEND,IN,46601,(574) 607-8008,Local
248,SUBWAY OF SOUTH BEND VIII,837 S IRONWOOD DR,SOUTH BEND,IN,46615,(574) 233-0300,Chain
249,CASA DEL RIO,1705 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 243-3332,Local
250,OLIVE EXPO,2324 ELWOOD AVE,SOUTH BEND,IN,46628,(574) 310-9068,Local
251,LASALLE INTERMEDIATE ACADEMY,2701 ELWOOD AVE,SOUTH BEND,IN,46601,(574) 283-7517,Local
252,MCKINLEY PUB,2930 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 234-2616,Local
253,ELKS LODGE #298,1001 W WESTERN AVE,SOUTH BEND,IN,46617,(574) 232-2678,Local
254,CUSHING MANOR BED & BREAKFAST,508 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 288-1990,Local
255,BOYS & GIRLS CLUB OF ST JOSEPH,502 E SAMPLE ST,SOUTH BEND,IN,46601,(574) 232-2048,Local
256,SOUTH BEND SCOTTISH RITE,427 N MAIN ST,SOUTH BEND,IN,46601,(574) 233-3158,Local
257,LONG JOHN SILVER'S #42,920 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-1220,Chain
258,MT CARMEL MISSIONARY BAPTIST,137 E INDIANA AVE,SOUTH BEND,IN,46613,(574) 287-1451,Local
259,KFS CATERING,3207 HIGH ST,SOUTH BEND,IN,46614,(574) 231-5168,Chain
260,THE COFFEE SPOT,3201 SUGAR MAPLE BUSINESS CT,SOUTH BEND,IN,46628,(574) 288-0398,Local
261,APPLEBEE'S NEIGHBORHOOD BAR &,1150 E IRELAND RD,SOUTH BEND,IN,46614,(574) 277-2640,Chain
262,MATTHYS LITTLE LEAGUE,4700 MEADOW LN,SOUTH BEND,IN,46619,(574) 289-5228,Local
263,Y.W.C.A. OF ST JOSEPH CO,1102 FELLOWS ST,SOUTH BEND,IN,46601,(574) 233-9491,Local
264,SOUTH BEND FIREFIGHTERS LOCAL,4025 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 232-3473,Local
265,SAINT PATRICK PARISH,309 S TAYLOR ST,SOUTH BEND,IN,46601,(574) 287-8932,Local
266,ICE CREAM SHOPPE,315 CHAPIN ST,SOUTH BEND,IN,46614,(574) 514-0146,Local
267,ROSALES SUPER MARKET #5,2812 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-4192,Local
268,POLISH NATIONAL ALLIANCE #83,2401 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 233-0880,Local
269,JIMMY JOHN'S GOURMET SANDWICH,138 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 246-1020,Chain
270,XAVIER SCHOOL OF EXCELLENCE,3423 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 231-6602,Local
271,"HICKEY'S SHAVED ICE, LLC",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 532-5736,Local
272,MARYCREST MARATHON,2306 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 233-8375,Local
273,THE VINE,103 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 234-9463,Local
274,IVY COURT INN & SUITES,1404 IVY CT,SOUTH BEND,IN,46637,(574) 277-6500,Local
275,COMPASS GROUP,4402 TECHNOLOGY DR,SOUTH BEND,IN,46628,(800) 234-7650,Local
276,THE SALVATION ARMY,510 S MAIN ST,SOUTH BEND,IN,46601,(574) 288-2539,Local
277,CJ'S PUB  -  CLOSED,417 N MICHIGAN ST,NEW CARLISLE,IN,46552,(574) 233-5981,Local
278,BURRITO CHULO - DO NOT USE,1724 N IRONWOOD DR,SOUTH BEND,IN,46635,(269) 621-5251,Local
279,PIZZA HUT,3624 MCKINLEY AVE,SOUTH BEND,IN,46615,(506) 328-4631,Chain
280,THE MARK,1234 N EDDY ST,SOUTH BEND,IN,46617,(574) 204-2767,Local
281,"CENTERPLATE / V.S.A., INC",120 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 235-9151,Local
282,EDISON INTERMEDIATE SCHOOL,2701 EISENHOWER AVE,SOUTH BEND,IN,46615,(574) 283-8948,Local
283,ANCHOR INN,2224 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9147,Local
284,"MATUBA RESTAURANT, LLC",2930 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 251-0674,Local
285,PREETI PETROLEUM INC,3417 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 287-7965,Local
286,CHINA HOUSE,2222 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 232-9828,Local
287,CITY LIMITS LOUNGE,1807 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 288-3636,Local
288,SUCCESS ACADEMY PRIMARY SCHOOL,3408 ARDMORE TRL,SOUTH BEND,IN,46628,(574) 299-9800,Local
289,LODDY'S,814 S WALNUT ST,SOUTH BEND,IN,46619,(574) 237-1094,Local
290,MI COCINITA,4333 W WESTERN AVE,SOUTH BEND,IN,46619-2614,(574) 288-4131,Local
291,222 ITALIAN STEAKHOUSE,222 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-0222,Local
292,FIRST PRESBYTERIAN CHURCH,333 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 234-4159,Local
293,HONEY BAKED HAM CO & CAFE,2307 EDISON RD,SOUTH BEND,IN,46615,(574) 288-4267,Local
294,MC ALISTER'S DELI,1130 E ANGELA BLVD,SOUTH BEND,IN,46613,(574) 232-8560,Chain
295,RADIANT HEARTH PIZZERIA LLC,52177 PICKWICK LN,SOUTH BEND,IN,46637,(574) 360-7142,Local
296,JULIO'S PIZZA,2509 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 287-1034,Local
297,GOSPEL CENTER MISSIONARY CHURC,930 S 30TH ST,SOUTH BEND,IN,46615,(574) 232-4477,Local
298,O'SULLIVAN'S CROSSING,235 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-3333,Local
299,WAL-MART SUPERCENTER #3436,700 W IRELAND RD,SOUTH BEND,IN,46614,(574) 299-1284,Chain
300,RINCON HUASTECO,2702 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 855-1903,Local
301,SAINT HEDWIG MEMORIAL CENTER,331 S SCOTT ST,SOUTH BEND,IN,46601,(574) 287-8935,Local
302,SUNRISE BAR & GRILL,3101 LINCOLN WAY W,SOUTH BEND,IN,46628-1947,(574) 234-3034,Local
303,"LUIGI'S PIZZA, INC",3620 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 282-1215,Local
304,POP'S PLACE INC,2035 S MICHIGAN ST,SOUTH BEND,IN,46613-2326,(574) 286-6115,Local
305,BELL-MART BP,3627 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 287-9926,Local
306,TURNERS OF MICHIANA LLC,2720 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 289-4335,Local
307,BAMBER SUPERETTE,1145 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 287-1871,Local
308,PIZZA HUT,3697 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 273-0678,Chain
309,ROZELL ROYAL RIBS,313 CHAPIN ST,SOUTH BEND,IN,46601,(574) 234-6980,Local
310,Z.B. FALCON NEST 80,323 S SHERIDAN ST,SOUTH BEND,IN,46619,(574) 288-3335,Local
311,EXTREME FAMILY GRUB AND PUB,2206 2208 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 289-4888,Local
312,"GIUSEPPE'S ISF, LLC",1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 302-6991,Local
313,CEDAR HOUSE RESTAURANT,808 E COLFAX AVE,SOUTH BEND,IN,46617,(574) 287-8744,Local
314,THE TASTE,917 LINCOLN WAY W,SOUTH BEND,IN,46616-1126,(574) 520-8969,Local
315,FALAFEL EXPRESS,1809 SOUTH BEND AVE,SOUTH BEND,IN,46637-5637,(574) 514-1228,Local
316,MINDY'S DOWNTOWN GRILL,120 W LASALLE AVE,SOUTH BEND,IN,46601,(574) 237-0819,Local
317,CHIPPEWA BOWL,225 W CHIPPEWA AVE,SOUTH BEND,IN,46614,(574) 291-5093,Local
318,GREAT HARVEST BREAD CO.,1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 271-1100,Local
319,RUM VILLAGE INN,2209 KEMBLE AVE,SOUTH BEND,IN,46613,(574) 288-1773,Local
320,"FIDDLER'S HEARTH, INC",127 N MAIN ST,SOUTH BEND,IN,46601,(574) 232-2853,Local
321,WENDY'S #562,3401 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 287-6644,Chain
322,CHICORY CAFE CO. - DO NOT USE,105 E JEFFERSON BLVD,SOUTH BEND,IN,46601,(574) 234-1141,Local
323,CAMBODIAN THAI RESTAURANT - DO,229 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-2877,Local
324,NAVARRE CATERING LLC - DBA BIS,211 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 235-5612,Local
325,GREATER FRIENDSHIP BAPT. CH.,206 S FALCON ST,SOUTH BEND,IN,46619,(574) 288-7487,Local
326,RON'S MCKINLEY MARATHON,2124 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 234-9565,Local
327,"CHINA GARDEN RESTAURANT, INC",900 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-7373,Local
328,STARZ BAR,1505 KENDALL ST,SOUTH BEND,IN,46613,(574) 288-7827,Local
329,MURPHY'S BACKYARD PUB,3601 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 233-5968,Local
330,SAINT JOSEPH CATHOLIC HIGH SCH,453 N NOTRE DAME AVE,SOUTH BEND,IN,46617,(574) 233-6137,Local
331,KELLY'S PUB,1150 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 287-7379,Local
332,MASTERPIECE CREATIONS/BISTRO,211 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 235-5583,Local
333,UGLY MUGS CAFE & CULTURE,102 N MAIN ST,SOUTH BEND,IN,46601,(574) 863-0352,Local
334,TAPHOUSE ON THE EDGE,1803 SOUTH BEND AVE,SOUTH BEND,IN,46637-5637,(574) 247-9293,Local
335,J J FISH & CHICKEN,3622 EDISON RD,SOUTH BEND,IN,46615,(574) 288-4221,Chain
336,OLIVE STREET CONVENIENCE STORE,815 N OLIVE ST,SOUTH BEND,IN,46619,(574) 287-6312,Local
337,ERSKINE GOLF COURSE,4201 MIAMI ST,SOUTH BEND,IN,46614,(574) 291-5587,Local
338,BRUNO'S PIZZA DTSB,131 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 234-2222,Local
339,SMOKIN ADDIES,501 LINCOLN WAY W,SOUTH BEND,IN,46601,(574) 287-4464,Local
340,SILVER TOWER SEAFOOD HOUSE,1536 LINCOLN WAY W,SOUTH BEND,IN,46628-2420,(574) 233-0304,Local
341,LONNIE'S 23 INN,1989 PRAIRIE AVE,SOUTH BEND,IN,46613,(574) 251-0282,Local
342,DOMINIC'S PIZZERIA,1640 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 289-0626,Local
343,SOUTH BEND CHOCOLATE COMPANY,4667 PROGRESS DR,SOUTH BEND,IN,46628,(574) 289-8786,Local
344,"THE PORTAGE GRILL, LLC",1519 PORTAGE AVE,SOUTH BEND,IN,46617,(574) 288-2867,Local
345,TOM'S RESTAURANT,131 S LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 237-9401,Local
346,PIZZA HUT - DONT USE,2017 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 273-9944,Chain
347,THE PHILADELPHIA,2123 EDISON RD,SOUTH BEND,IN,46637,(574) 287-3255,Local
348,PIZZA HUT - DONT USE,1129 N BENDIX DR,SOUTH BEND,IN,46628,(574) 232-2800,Chain
349,LA CENTRAL BAKERY,3021 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 289-2550,Local
350,ELKS LODGE #235,3535 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 233-1139,Local
351,SUPER MERCADO ROSALES,1518 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 234-5587,Chain
352,STEAK N SHAKE,1315 E IRELAND RD,SOUTH BEND,IN,46614,(574) 299-9936,Local
353,ELOTES Y MAS,1343 DUNHAM ST,SOUTH BEND,IN,46619,(574) 233-0109,Local
354,QUINCY'S,1631 EDISON RD,SOUTH BEND,IN,46637,(574) 273-0159,Local
355,STATE THEATRE,214 1/2 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 303-8820,Local
356,SUPER MERCADO ROSALES,620 S MEADE ST,SOUTH BEND,IN,46619,(574) 288-0536,Chain
357,TACO BELL / PIZZA HUT #5393,221 W LASALLE AVE,SOUTH BEND,IN,46601,(574) 233-3431,Chain
358,ALWAYS OPEN,1401 N BENDIX DR,SOUTH BEND,IN,46628,(574) 233-6429,Local
359,BEACON BOWL RESTAURANT,4210 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 234-4167,Local
360,CROOKED EWE BREWERY & ALE HOUS,1047 LINCOLN WAY E,SOUTH BEND,IN,46601,(574) 217-0881,Local
361,COFFEE AND TEA THYME,1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(260) 625-5476,Local
362,MCKINLEY PRIMARY SCHOOL,228 N GREENLAWN AVE,SOUTH BEND,IN,46624,(574) 283-8576,Local
363,V.F.W. POST 9820,4829 LINDEN AVE,SOUTH BEND,IN,46619,(574) 237-9820,Local
364,MITCH'S CORNER SPORTS BAR,1516 N IRONWOOD DR,SOUTH BEND,IN,46635,(574) 855-2365,Local
365,MARTIN'S SUPER MARKETS #10,2081 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 272-6922,Chain
366,ARBY'S ROAST BEEF #877,4615 MIAMI ST,SOUTH BEND,IN,46614,(574) 291-1208,Chain
367,ONE STOP SHOP,3529 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-7870,Local
368,SPEEDWAY #5548,1449 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 233-7421,Chain
369,KRIS'S KOUNTRY KITCHEN,2210 2212 MIAMI ST,SOUTH BEND,IN,46613,(574) 251-0377,Local
370,ARBY'S ROAST BEEF #7215,209 W SAMPLE ST,SOUTH BEND,IN,46601,(574) 246-9733,Chain
371,SPEEDWAY #5487,2075 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-5436,Chain
372,SPEEDWAY #5153,2150 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 277-2071,Chain
373,CENTER FOR THE HOMELESS,813 S MICHIGAN ST,SOUTH BEND,IN,46601-3102,(574) 282-8700,Local
374,SOUTH BEND CHOCOLATE CO,615 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 233-2577,Local
375,ARMY & NAVY UNION #146,1121 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 287-3815,Local
376,7-ELEVEN,333 S LOGAN ST,SOUTH BEND,IN,46601,(574) 232-8916,Chain
377,ALLIE'S CAFE & CATERING,2323 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 232-9520,Local
378,P & G FAMILY RESTAURANT 2,1140 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 246-1812,Local
379,TAPASTRIE LLC,103 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 232-9200,Local
380,FRANKIE'S BBQ,1621 W WASHINGTON ST,SOUTH BEND,IN,46628-2159,(574) 287-8993,Local
381,JOVI'S LOUNGE,1905 MIAMI ST,SOUTH BEND,IN,46614,(574) 289-3770,Local
382,CAFE 211,211 N EDDY ST,SOUTH BEND,IN,46617,(574) 299-9126,Local
383,TASTE OF MEXICO,2637 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 232-8960,Local
384,STUDEBAKER GOLF COURSE,718 E CALVERT ST,SOUTH BEND,IN,46613,(574) 287-6634,Local
385,EL RANCHITO,1923 PRAIRIE AVE,SOUTH BEND,IN,46613,(574) 288-3930,Local
386,R.K. CITY FOOD MART,301 N LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 287-5754,Local
387,KENNEDY WATER PARK CONC.,2700 WESTMOOR ST,SOUTH BEND,IN,46624,(574) 235-9407,Local
388,VOLCANO RESTAURANT,3700 LINCOLN WAY W,SOUTH BEND,IN,46601,(574) 287-5775,Local
389,KROGER J-901,4526 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-0471,Chain
390,BRUNO'S PIZZA,2202 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 968-0350,Local
391,LITTLE CAESARS PIZZA,1225 E IRELAND RD,SOUTH BEND,IN,46614,(574) 299-0300,Chain
392,NEW CHINA RESTAURANT,920 ERSKINE PLZ,SOUTH BEND,IN,46614,(574) 291-9324,Local
393,WASHINGTON HIGH SCHOOL,4747 W WASHINGTON ST,SOUTH BEND,IN,46624,(574) 283-7220,Local
394,HOWARD PARK GENERAL STORE,609 E JEFFERSON BLVD,SOUTH BEND,IN,46617,(574) 000-0000,Local
395,SAINT ADALBERT CATHOLIC CHURCH,519 S OLIVE ST,SOUTH BEND,IN,46619,(574) 288-5708,Local
396,SPEEDWAY #6674/SUBWAY #6628,6161 W BRICK RD,SOUTH BEND,IN,46628,(574) 277-4206,Chain
397,MC DONALD'S 493,416 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 400-0775,Chain
398,TARKINGTON TRADITIONAL SCHOOL,3414 HEPLER ST,SOUTH BEND,IN,46635,(574) 243-7217,Local
399,GRANDPA'S HOUSE OF PANCAKE,4123 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 220-2215,Local
400,FIRST BRETHREN CHURCH,4909 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 291-4909,Local
401,LASALLE GRILL,115 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 288-1155,Local
402,PAPA JOHN'S #2,1811 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 233-7272,Chain
403,YATS EDDY STREET LLC,1251 N EDDY ST,SOUTH BEND,IN,46617,(000) 000-0000,Local
404,STUDIO RUMBA 305,1116 S MAIN ST,SOUTH BEND,IN,46619,(574) 217-6507,Local
405,PAPA JOHN'S #5,928 S MAYFLOWER RD,SOUTH BEND,IN,46619,(502) 935-6329,Chain
406,SAINT MATTHEW CATHEDRAL SCHOOL,1015 E DAYTON ST,SOUTH BEND,IN,46613,(574) 289-4535,Local
407,STARBUCKS COFFEE #9758,1290 E IRELAND RD BLDG,SOUTH BEND,IN,46614,(206) 318-8705,Chain
408,TAQUERIA LOS GARCIA,1140 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 217-7663,Local
409,IMMANUEL UNITED METHODIST,1211 W EWING AVE,SOUTH BEND,IN,46613,(574) 000-0000,Local
410,PILGRIM BAPTIST CHURCH,116 BIRDSELL ST,SOUTH BEND,IN,46628,(574) 234-6698,Local
411,BIG ED'S AND ANGIE'S,2227 FRANKLIN ST,SOUTH BEND,IN,46613,(574) 232-3444,Local
412,LA ROSITA,2909 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 246-0445,Local
413,BOOTLEG'ERS,1302 FORD ST,SOUTH BEND,IN,46619,(574) 234-0744,Local
414,BYERS SOFTBALL COMPLEX,1300 S MAYFLOWER RD,SOUTH BEND,IN,46619,(574) 282-1449,Local
415,"FAITH APOSTOLIC TEMPLE, INC",911 N BENDIX DR,SOUTH BEND,IN,46628,(574) 288-3515,Local
416,MANGO CAFE LLC.,1740 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 607-1877,Local
417,THE TASTE OF CHICAGO,917 LINCOLN WAY W,SOUTH BEND,IN,46616-1126,(574) 520-8969,Local
418,STUDEBAKER NATIONAL MUSEUM INC,201 CHAPIN ST,SOUTH BEND,IN,46601,(574) 235-9714,Local
419,BURGER KING #6622,1113 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-4300,Chain
420,PORTAGE CONVENIENCE STORE,1409 PORTAGE AVE,SOUTH BEND,IN,46616,(574) 204-2589,Local
421,QUIZNOS SUB,131 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 256-6712,Chain
422,APPLEBEE'S NEIGHBORHOOD BAR &,3703 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 277-2640,Chain
423,KITCHEN SKATE PARK,3300 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 217-8986,Local
424,MEJORANDO TU FIGURA,1110 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 261-1585,Local
425,AMERICAN LEGION POST 303,2503 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 287-0057,Local
426,LE PEEP,127 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 288-7337,Chain
427,CHRIST TEMPLE APOSTOLIC SOUP K,2307 ELWOOD AVE,SOUTH BEND,IN,46628,(574) 233-3892,Local
428,FIRST BAPTIST CHURCH OF S.B.,3010 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 294-4141,Local
429,ANTONIO'S PLACE,1314 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 289-0068,Local
430,GOODWILL INDUSTRIES OF MICHIAN,1805 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 472-7300,Local
431,LEEPER PARK TENNIS CENTER,837 N LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 235-9405,Local
432,RILEY HIGH SCHOOL,1902 FELLOWS ST,SOUTH BEND,IN,46613,(574) 283-8541,Local
433,EMMAUS LUTHERAN CHURCH,929 MILTON ST,SOUTH BEND,IN,46613,(574) 287-4151,Local
434,LACOPOS PIZZERIA,3004 ARDMORE TRL,SOUTH BEND,IN,46628-1927,(574) 233-5331,Local
435,MC DONALD'S 2982,3221 LINCOLN WAY W,SOUTH BEND,IN,46628-1450,(574) 400-0775,Chain
436,MC DONALD'S 3206,5021 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 400-0775,Chain
437,PEDRO'S FAMILY RESTAURANT,110 N MAIN ST,SOUTH BEND,IN,46601,(574) 472-1057,Local
438,LAND & SEA,1107 LINCOLN WAY W,SOUTH BEND,IN,46616,(574) 288-5851,Local
439,SOUTH SIDE FOOD MART,1637 KEMBLE AVE,SOUTH BEND,IN,46613,(574) 222-2372,Local
440,CLUB FEVER,222 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 234-5200,Local
441,GOOD SHEPHERD LUTHERAN CHURCH,1021 MANCHESTER DR,SOUTH BEND,IN,46615,(574) 232-9418,Local
442,CATERING BY BILLIE,407 S EDDY ST,SOUTH BEND,IN,46617,(574) 234-3663,Local
443,OC MINI MART,815 N OLIVE ST,SOUTH BEND,IN,46619,(574) 855-4958,Local
444,LET'S SPOON FROZEN YOGURT,1635 EDISON RD,SOUTH BEND,IN,46637,(574) 904-9240,Local
445,MC DONALD'S 6097,1850 LINCOLN WAY E,SOUTH BEND,IN,46613-3423,(574) 287-9843,Chain
446,FRANK'S PLACE,327 W MARION ST,SOUTH BEND,IN,46601-1148,(574) 232-2277,Local
447,STARBUCKS #2931,2202 SOUTH BEND AVE,SOUTH BEND,IN,46637,(206) 318-8705,Chain
448,WAL-MART #2680,3701 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 243-4915,Chain
449,BURGER KING # 8448,3403 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 277-4600,Chain
450,J & R LINCOLNWAY GRILL,1003 LINCOLN WAY W,SOUTH BEND,IN,46616-1147,(574) 233-7814,Local
451,LONG JOHN SILVER'S #40,4949 W WESTERN AVE,SOUTH BEND,IN,46601,(812) 482-3212,Chain
452,BAKER'S DOZEN BAKESHOP,2909 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 289-9559,Local
453,HOPE MINISTRIES,432 S LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 235-4150,Local
454,BORDER'S DAIRY QUEEN,1847 LINCOLN WAY E,SOUTH BEND,IN,46613-3422,(574) 287-3952,Local
455,MITCH'S SECOND BASE SPORTS BAR,4407 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 532-7022,Local
456,PAPA JOHN'S PIZZA,3903 PORTAGE AVE,SOUTH BEND,IN,46628,(502) 935-6329,Chain
457,SOUTH BEND BREW WERKS,216 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 334-0356,Local
458,PENN STATION EAST COAST SUBS,2202 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 855-2432,Local
459,"PURPLE PORCH CO-OP, INC",123 N HILL ST,SOUTH BEND,IN,46617,(574) 287-6724,Local
460,K'S GRILL & PUB,1733 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 277-2527,Local
461,RIVER CITY CAFE,321 E WALTER ST,SOUTH BEND,IN,46614,(574) 299-4768,Local
462,ROSALES PLAZA,2812 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 326-9796,Local
463,TACO MOVIL,2812 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 520-7927,Local
464,PRIYA & LUCKY,5307 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-6009,Local
465,SMILEY DOGS (HOT DOG CART),56977 MAYFLOWER RD,SOUTH BEND,IN,46619,(574) 287-7492,Local
466,GOLDEN DRAGON CHINESE REST,3302 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 243-8800,Local
467,TAQUERIA CHICAGO,2920 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-6775,Local
468,FALCON EXPRESS,3417 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 855-1429,Local
469,JAVIER'S BISTRO,2007 MIAMI ST,SOUTH BEND,IN,46614,(574) 222-2917,Local
470,HOLINESS CHURCH OF GOD,1635 LINDEN AVE,SOUTH BEND,IN,46628,(574) 232-1704,Local
471,P & G FAMILY RESTAURANT,2335 PRAIRIE AVE,SOUTH BEND,IN,46614,(574) 288-7792,Local
472,PERLEY FINE ARTS SCHOOL,740 N EDDY ST,SOUTH BEND,IN,46617,(574) 283-8741,Local
473,MONROE PRIMARY SCHOOL,312 DONMOYER AVE,SOUTH BEND,IN,46614,(574) 231-5837,Local
474,ALLIE'S AMERICAN GRILL,123 N SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 234-2000,Local
475,CALVERT ROD & GUN CLUB,2203 W EWING AVE,SOUTH BEND,IN,46613,(574) 233-6588,Local
476,DOMINO'S PIZZA,1627 EDISON RD,SOUTH BEND,IN,46637,(574) 271-0300,Chain
477,IN YER FACE BBQ,1418 N ELMER ST,SOUTH BEND,IN,46628,(574) 229-7401,Local
478,POLITO'S ITALIAN RESTAURANT,401 N HICKORY RD,SOUTH BEND,IN,46615,(574) 243-5385,Local
479,DONNALEE'S,701 W INDIANA AVE,SOUTH BEND,IN,46613,(574) 237-9811,Local
480,BG'S DOWNTOWN DOGS,111 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 246-0136,Local
481,WOOCHI JAPANESE FUSION & BAR,123 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 289-2222,Local
482,7-ELEVEN #27054,2207 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 232-1797,Chain
483,PIZZA HUT - DONT USE,209 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-9400,Chain
484,THE LANDING CATERING,2801 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 299-9126,Local
